,Title,Employer,Location,Salary,Data Posted,Tech Stack,Description,Responsibilities,Experience,Learn More
10,Frontend Developer - EVs & Electrification,Octopus Energy,Remote in London,Not Provided,30+ days ago,Java C HTML React,"Kraken is the technology behind Octopus Energy.
Energy is changing.

For years, it was an industry dominated by large suppliers using outdated systems that put profits first and customers last. Now, we’re using the latest technology and green generation to transform energy for customers, bringing the UK cheaper, greener, and fairer energy.

We enjoy the best of both worlds: backing from a £6bn business of highly experienced and talented individuals, and the dynamic environment of a start-up.

We...","[""\nWe’re looking for someone who’s passionate about code, curious, and eager to learn. You’ll be working alongside the frontend team that provides services for our Electric Juice ecosystem in the electric vehicle and electrification space. This is an early stage project which will give you the chance to have a huge impact and, given our ambitions in the electrification space, influence how the frontend grows to meet new challenges and create a wider ecosystem. Overall you'll work with a small, high-energy project team to bring the product to life - an exciting opportunity to work like a start-up within a rapidly scaling EnTech business."", 'We’re looking for someone who thrives on solving tough problems. Someone who can challenge those around them, and be challenged, while delivering delightful experiences for our internal and external customers.', ""At Octopus, we're looking for genuinely decent people who are honest and empathetic. Our commitment is to provide equal opportunities, a diverse and inclusive work environment, and fairness for everyone. You are welcome to apply no matter your age, disability, gender, marriage or civil partnership status, pregnancy and maternity status, race, religion or belief, or sexual orientation.""]","['\nWe enjoy the best of both worlds: backing from a £6bn business of highly experienced and talented individuals, and the dynamic environment of a start-up.', '\nWe are the only Which? recommended energy supplier for 2019, the uSwitch supplier of the year, Energy Awards supplier of the year, and UK customer experience award winner for utilities.', '\nExperience with JavaScript frameworks, bonus marks for React experience.', '\nExperience in crafting mobile-first responsive sites for a range of devices.', ""\nWondering what the salary for this role is? Just ask us! On a call with one of our recruiters it's something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don't advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn't apply to Octopus - what's more important to us is finding the right octofit!"", 'We’re looking for someone who thrives on solving tough problems. Someone who can challenge those around them, and be challenged, while delivering delightful experiences for our internal and external customers.']",https://uk.indeed.com/viewjob?jk=8d02e01f33e47f2a
11,Graduate Frontend Software Engineer (Summer 2022),Acre,London,Not Provided,Report job,Java Javascript C React,"Better homebuying for everyone involvedAcre is rebuilding the UK’s £1.4 trillion mortgage market from the ground up, with a suite of digital products for the user at every part of the process.Our platform cuts out the unnecessary admin, pain and friction from buying a home. We're covering the entire journey, from figuring out what you can borrow, to getting your keys. We're guided both by the voice of real home buyers and by our close relationships with brokers, lenders and insurers, through our...","['We are looking for a graduate with a passion for frontend development who wants to be a part of a fast-growing startup that is transforming the way we buy homes.', 'We’re looking for people that will get stuck in and make a difference. We have a great collaborative, entrepreneurial team that are passionate about what they do. If you want to join a team that is changing people’s lives for the better, then we’d love to hear from you.']","['Experience of a range of languages, frameworks and patterns.', 'Be on track to getting a 2:1 or higher degree in Computer Science, Mathematics or other scientific disciplines, or equivalent experience.']",https://uk.indeed.com/viewjob?jk=486d945daec6476b
12,Creative Developer,Blippar,London,Not Provided,21 days ago,Java Javascript C HTML,"Creative Developers
London, England, United Kingdom + Global
Freelance to perm
DESCRIPTION
We're looking for smart, driven and curious people to join our team. Blippar is a leading technology company specialising in augmented reality (AR). Since launching in 2011, Blippar has been pioneering in Augmented Reality and we have since built an AR ecosystem. Our goal is big and unabashedly bold: to seamlessly and completely bridge the physical and digital worlds using our ground-breaking augmented rea...","[""\nWe're looking for smart, driven and curious people to join our team. Blippar is a leading technology company specialising in augmented reality (AR). Since launching in 2011, Blippar has been pioneering in Augmented Reality and we have since built an AR ecosystem. Our goal is big and unabashedly bold: to seamlessly and completely bridge the physical and digital worlds using our ground-breaking augmented reality technologies and creation platform."", ""\nWe are currently looking for exceptionally talented Front End focused FullStack ‘Creative’ Developers to join our team. You'll be working with many of the world’s biggest brands and companies across different market sectors, creating and utilising cutting edge technology to help realise our clients and business objectives. You are passionate, open-minded, and a talented team player who loves to be challenged."", '\n2021 and beyond is going to be another super exciting year for us and the Augmented Reality industry. We continue to scale and grow our talented team hence we’re looking for passionate talent to join our exceptional team, become part of our family and help us deliver on our vision.']","['\nKnowledge of A-Frame, Three.js and ideally experience with webAR platforms', '\nExperience with AR Quicklook/ Scene - viewer would be a plus.', '\nExperience working in an agency/start-up environment is desirable', '\nBlippar is a leading technology content company specialising in Augmented Reality (AR). Our vision is to make AR accessible for all. Our SaaS tools and in-house Studio team empower everyone – from bedroom developers to advanced creatives and brands, studios and system integrators – to create, experience and share AR that is accessible from anywhere in this world.', '\nFounded in 2011, Blippar has created many world firsts in spatial computing and offers products including SLAM, Marker Recognition on the Server and OCR, which can trigger experiences by identifying the text in the images, which are limited elsewhere in the market. Under CEO Faisal Galaria’s streamlined and focused approach, Blippar continues to be a pioneering force in the AR sphere, working at the forefront of innovation and creativity.']",https://uk.indeed.com/viewjob?jk=e2dd08691e7659b5
13,ServiceNow Developer,Lloyds Banking Group,London,"£35,656 - £44,570 a year",3 days ago,Java C,"Grade
D
End Date
Tuesday 12 April 2022
Salary Range
£35,656 - £44,570
Agile Working Options
Other Agile Working Arrangements / Open to Discussion
Job Description Summary
Lloyds Banking Group (LBG) is aiming to be both the best bank for customers as well as the bank of the future – where we can meet constantly evolving customer needs and help Britain prosper.


A key driver to us achieving this requires a shift towards new approaches to develop the systems and applications that underpin the Bank....","[""We're looking for a ServiceNow Developer to join us on our journey, working hand in hand with expert Analysts and Developers to implement solutions that are aligned to the overall platform design principles and strategy, working within an Agile Squad, and supported by the Platform Engineering Lead, Product Owners and Platform SME in a highly collaborative, Agile environment.\n"", ""***This role can be based out of our West Yorkshire, Manchester, or London hubs - we're mainly looking for the above skills. The broad base salary banding across the UK is from £35,700pa to £54,000pa. Salaries in the London area will be reflected towards the upper end of this bracket***\n""]","[""Here in the ServiceNow Centre of Excellence & Innovation, our mission to transform LBG. To realise this, we need to adopt new approaches in developing the processes, systems and applications that underpin the Bank. We're achieving this by exploiting the capability of ServiceNow, an industry leading tool in automating colleagues’ experiences to enhance customer and colleague outcomes. Since the implementation of ServiceNow in 2018, immense value has been delivered through the platform; now hosting over 50 business processes spanning Risk, ITSM, Cyber, Change and Customer Payments…and that’s just the start!\n"", 'You’ll be self-motivated with experience of operating on the ServiceNow Platform to some degree, and comfortable in the multifaceted atmosphere of a technical organisation with a rapidly growing customer base. In addition, you’ll be organised and analytical, adept at working in an agile team, and able to handle multiple priorities in a fast-paced environment.\n', 'You’ll have experience of the ServiceNow platform, including:\n']",https://uk.indeed.com/viewjob?jk=113509039ff507d0
14,Python Developer,FXC Intelligence,London,Not Provided,Today,Python C Spark Apache,"Due to rapid growth over the past year FXC Intelligence are now looking to add a number of positions to take the company to the next stage of its development, including a Python Developer looking to take a step up in their career.
We are a fast growing financial data (Fintech) company with an enterprise client list of household brands, which include HSBC, PayPal, World Bank, Western Union and Mastercard to name a few. We are rapidly building on our already strong reputation in the finance sector...",[],"['At least 2-3 years programming experience', 'Experience or familiarity with Docker']",https://uk.indeed.com/viewjob?jk=6a5e31f60daa97b9
15,Full Stack Developer Graduate,Atos,London,Not Provided,30+ days ago,C,"Publish Date:
Mar 18, 2022

Location:
London, London, GB-United Kingdom

Company:
Atos

About Atos

Atos is a global leader in digital transformation with 107,000 employees and annual revenue of over € 11 billion. European number one in cybersecurity, cloud and high performance computing, the Group provides tailored end-to-end solutions for all industries in 71 countries. A pioneer in decarbonization services and products, Atos is committed to a secure and decarbonized digital for its clients. A...",['We’re looking for the following key skills from applicants:'],['\nAn understanding of IT solutions and ideally some software coding experience either at university or through previous work experience\n'],https://uk.indeed.com/viewjob?jk=43ebc4c0dbfe5ebf
16,Graduate Software Engineer,MRI Software,London EC2V,Not Provided,30+ days ago,C SQL,"Founded in 1971, MRI Software is a leading provider of innovative real estate software applications and hosted solutions. MRI’s comprehensive and flexible technology platform coupled with an open and connected ecosystem meets the unique needs of real estate businesses—from property-level management and accounting to investment modeling and analytics for the global commercial and residential markets.
Based outside Cleveland, Ohio, MRI Software is a global company with offices in the United States...",[],"['No prior experience necessary for this Entry-Level Position', 'BA/BS Degree in Computer Science, Software Engineering or related software engineering experience', 'Experience with or working knowledge of Microsoft programming technologies including .Net Framework, C# and/or VB.Net, SQL Server, TSQL, MS Visual Studio, IIS']",https://uk.indeed.com/viewjob?jk=91a17f4683fa51a9
17,Java Developer - 6503,ION,London,Not Provided,1 day ago,Java C C++ HTML,"The Role:
We are looking for candidates to expand our FX Development team and believe that creating the best technology is not enough. We have a deep commitment to providing the best service and support in the industry. We partner with our customers to solve the hardest problems they face and ensure they achieve their goals. We are hands-on and solutions-oriented, and we understand that we succeed only when our customers succeed.
At ION, we are committed to building a thriving, diverse and conne...","['\nWe are looking for candidates to expand our FX Development team and believe that creating the best technology is not enough. We have a deep commitment to providing the best service and support in the industry. We partner with our customers to solve the hardest problems they face and ensure they achieve their goals. We are hands-on and solutions-oriented, and we understand that we succeed only when our customers succeed.']","['\nRequired Skills, Experience & Qualification:', '\nDesired Years of Work Experience:3-7 Years', '\nExperience with Multi-threaded and asynchronous programming models.', '\nExperience with Agile methodologies.', '\nPrior experience with JavaScript/TypeScript and HTML5 is a plus.', '\nAt ION, we offer careers that provide many opportunities: To invent. To design. To collaborate. To build. To transform businesses and empower people around the world to do more, faster and better than before. Imagine what you can do and experience. This is where you can do your best work.']",https://uk.indeed.com/viewjob?jk=c421792946f7d797
18,Software Engineer,Vodafone,Remote in London,Not Provided,Just posted,Java Node C,"Software Engineer
Location: London, The Speechmark Building, Southwark & *Blended* working
Salary: £Competitive Salary + Benefits
Hours: 37.5
Safety Notice: We are continuing recruitment and have implemented new processes that promote candidate and employee safety. As part of this we have moved to a virtual hiring and onboarding process until further notice.
We innovate, invent and continuously improve, Vodafone UK Digital works within the heart of our business. Empowering Vodafone’s mission of ...",['\nWho are we looking for?'],"['\nYou have solid experience working in an agile development environment', '\nGood JavaScript experience including asynchronous programming, pec closures, types, and ES6', '\nYou’ll preferably have commercial experience with REACT and Node.js', '\nDemonstrable experience with RESTful APIs and JSON', '\nGood knowledge of responsive web design and experience with Git or other source control systems']",https://uk.indeed.com/viewjob?jk=12dd1356fe87f763
19,Feature Product Developer (Wealth) - Chase UK,"JPMorgan Chase Bank, N.A.",London,Not Provided,7 days ago,C,"JPMorgan Chase has undertaken a digital transformation strategy, and is investing in innovative ways to attract customers, deepen customer engagement and drive increased satisfaction through delightful interactions with digital products and experiences. We strive to transform customer experiences, simplify the ways we do business and tirelessly drive toward product excellence. Our team is at the heart of driving this transformation, focused on developing innovative offerings that put the custome...","['Culture is as important to us, and we are looking for intellectually curious, honest, passionate and hungry individuals. People with a desire to expand their skills whilst working on an exciting new venture for the firm. Your work will have a massive impact, both on us as a company, as well as for our clients and our business partners around the world.\n', 'We intend to expand our businesses into different markets, and we are creating a new organisation to address this. As such, we are looking for commercially minded, customer-oriented individuals who are used to working in a dynamic agile environment, and who want to be a part of building something from the ground up with us.\n']","['JPMorgan Chase has undertaken a digital transformation strategy, and is investing in innovative ways to attract customers, deepen customer engagement and drive increased satisfaction through delightful interactions with digital products and experiences. We strive to transform customer experiences, simplify the ways we do business and tirelessly drive toward product excellence. Our team is at the heart of driving this transformation, focused on developing innovative offerings that put the customer at the centre.\n', 'Experience as a business analyst or product owner in a complex software environment with Agile/Scrum development\n', 'Strong experience with planning, prioritising, and maintaining product backlogs\n', 'Strong experience assessing value, developing cases, and prioritising stories, epics and themes to ensure work focuses on those with maximum value and is aligned with product strategy\n', 'Strong experience with hypothesis-driven development, product experimentation, and product analytics.\n', 'BDD/ATDD - Preferred experience with Behaviour Driven Development/ Acceptance Test including the use of Gherkin to specify requirements.\n', 'Continuous Delivery - Experience working with development teams that deliver to Production continuously.\n']",https://uk.indeed.com/viewjob?jk=f7d51ab4a88bff61
20,Junior Front-End Developer,Merkle,London,Not Provided,11 days ago,Java C HTML React CSS,"Company Description:
Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specialises in the delivery of unique, personalised customer experiences across platforms and devices. We call it ‘people-based’ marketing, and with over 25 years’ experience, we are proud to be recognised as a global leader.
Merkle’s heritage in data, technology and analytics is the foundation for our understanding of consumer insights that drives our people-based marketing strateg...","['\nWe are looking for someone to join us as soon as possible, ideally by the end of 2021 or early 2022, we will accommodate notice periods best we can.', '\nEssentially, we’re looking for intelligent, coding obsessed, logical candidates!', ""\nWe welcome new joiners from all backgrounds; you can be freshly graduated, someone with an apprenticeship or a person looking for a change of career. We're open to anyone who’s passionate about analytics and Coding. Make sure you display that passion and research throughout the interview process.""]","['Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specialises in the delivery of unique, personalised customer experiences across platforms and devices. We call it ‘people-based’ marketing, and with over 25 years’ experience, we are proud to be recognised as a global leader.', '\nMerkle’s heritage in data, technology and analytics is the foundation for our understanding of consumer insights that drives our people-based marketing strategies. Combined with our expertise in performance creative and media, we can then offer our clients content-driven, contextual and compelling customer experiences that drive business growth.', '\nIn 2016, the agency joined the Dentsu, one of the world’s biggest media companies to form the Customer Experience Management (CXM) Line of Business.', 'Experience Analytics', ' team where you will help our clients to optimize their websites by building experience variations using testing platforms such as Google Optimize, Adobe Target and Optimizely.', 'User Experience (UX)', '\nAs a Junior Front-End Developer in our Experience Analytics team, you will bring to life the data-driven test ideas generated by our ', '\nYou begin by joining our fantastic training programme and you’re supported from day one. In hardly any time, you’ll be an expert in how to apply your coding experience within the core website testing platforms we work with and will build a solid understanding of our data-driven approach to CRO. After that, your day to day will comprise the following:', 'Previous experience working with Optimizely, Adobe Target and Google Optimize would be extra handy', 'Experience undertaking website testing and creating test plans', 'Experienced Hires:']",https://uk.indeed.com/viewjob?jk=350d8036c45baa0b
21,Full Stack Developer London /UK Remote £40K to £80K plus pac...,Noa,Remote in London SW19,"£60,000 - £80,000 a year",24 days ago,C AWS SQL React PHP,"We are helping one of the UK’s brightest Tech companies whose aim is to become the leaders in the next era of data-driven high performance software and as a result need to hire a Full Stack Developer to join their team in London.

The remote working policy is flexible to suit you.

To be a successful Full Stack Developer, the ideal candidate will have
Good PHP (Symfony, Laravel)
Typescript/React
Strong experience with MySQL
Experience with AWS is a bonus
Confident communication skills
What is in...",[],"['Strong experience with MySQL', 'Experience with AWS is a bonus']",https://uk.indeed.com/viewjob?jk=339ef44b913885d7
22,Clojure Developer,kleene.ai,Remote in London EC2M,"£60,000 a year",30+ days ago,C AWS,"Up to £60,000 depending on experience

What would be your dream job? How about one where you can work remotely and spend your time working with Clojure? How about one where your voice will be heard and you can help shape the tools that are built? If so, this could be the job you’re looking for!

The Role

We are currently expanding our development team and are looking for someone with strong backend Clojure skills. You will be working on our web app and ensuring that we continue to deliver relia...","['\nWhat would be your dream job? How about one where you can work remotely and spend your time working with Clojure? How about one where your voice will be heard and you can help shape the tools that are built? If so, this could be the job you’re looking for!', '\nWe are currently expanding our development team and are looking for someone with strong backend Clojure skills. You will be working on our web app and ensuring that we continue to deliver reliable and scalable solutions to our clients.', '\nWe’re looking for someone who has experience of web application development and working with distributed systems. Data engineering and front end experience would also be beneficial.']","['Up to £60,000 depending on experience', '\nWe’re looking for someone who has experience of web application development and working with distributed systems. Data engineering and front end experience would also be beneficial.']",https://uk.indeed.com/viewjob?jk=fffca5375b10d4b0
23,Junior E-Mail Developer,Merkle,London,Not Provided,4 days ago,C HTML CSS,"Company Description:
Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specialises in the delivery of unique, personalised customer experiences across platforms and devices. We call it ‘people-based’ marketing, and with over 25 years’ experience, we are proud to be recognised as a global leader.
Merkle’s heritage in data, technology and analytics is the foundation for our understanding of consumer insights that drives our people-based marketing strateg...",['What we are looking for in you'],"['Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specialises in the delivery of unique, personalised customer experiences across platforms and devices. We call it ‘people-based’ marketing, and with over 25 years’ experience, we are proud to be recognised as a global leader.', '\nMerkle’s heritage in data, technology and analytics is the foundation for our understanding of consumer insights that drives our people-based marketing strategies. Combined with our expertise in performance creative and media, we can then offer our clients content-driven, contextual and compelling customer experiences that drive business growth.', '\nIn 2016, the agency joined dentsu, one of the world’s biggest media companies to form the Customer Experience Management (CXM) Line of Business.', 'Being aware and having a proactive, mindful “eye” to problem identification and mitigation (associated with execution of HTML Email Campaigns); capable and confident problem-solving skills; recognizing when and to whom to escalate and issues; utilizing knowledge and experience to avoid repeat/similar problems in the future', '\nCirca: 1 years + experience', '\nWe can offer an exciting and enjoyable working environment. You will join a team who are passionate about creative excellent customer and business experiences for our clients.', 'Experienced Hires:']",https://uk.indeed.com/viewjob?jk=e3fa9052ce86ed10
24,Junior Developer,Octopus Energy,London,Not Provided,24 days ago,Python C AWS Ruby,"Kraken is the technology behind Octopus Energy.
Smart Pear is the part of Kraken Technologies Ltd that provides, amongst other things, the means by which Kraken talks to smart meters via the DCC.

We're looking for a junior developer or analyst who is passionate about understanding complex business problems, developing code based solutions and then maintaining the solution to provide continuously excellent service and support.
You'll be joining our team and helping us both manage the DCC Adaptor...","[""We're looking for a junior developer or analyst who is passionate about understanding complex business problems, developing code based solutions and then maintaining the solution to provide continuously excellent service and support."", ""At Octopus, we're looking for genuinely decent people who are honest and empathetic. Our commitment is to provide equal opportunities, a diverse and inclusive work environment, and fairness for everyone. You are welcome to apply no matter your age, disability, gender, marriage or civil partnership status, pregnancy and maternity status, race, religion or belief, or sexual orientation.""]","['\nIt would be a bonus if you have any experience of the GB energy market and smart metering', ""Just ask us! On a call with one of our recruiters it's something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don't advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn't apply to Octopus - what's more important to us is finding the right octofit!""]",https://uk.indeed.com/viewjob?jk=3e644d965edd6ac7
25,ServiceNow Developer,Lucid Connect Ltd,Remote in London SW1A,"£60,000 a year",3 days ago,C,"Remote/Work from home - occasional travel to client site - Feltham
ServiceNow Developer - Permanent
Salary up to £60,000 (+ excellent other company benefits)
Lucid Connect are supporting our client to recruit a ServiceNow Developer to join a successful company on their client site. You will have full responsibility for overseeing and sustaining good customer services in line with the agreed Service Level Agreements.
This is an exciting new opportunity to join a market leading IT solutions provid...","['We are looking for a candidate that has excellent technical and interpersonal skills, preferably with experience working for an IT solutions provider previously in a ServiceNow Developer role.']","['We are looking for a candidate that has excellent technical and interpersonal skills, preferably with experience working for an IT solutions provider previously in a ServiceNow Developer role.', 'Lead a team of more junior ServiceNow engineers to deliver these requirements across multiple Employee Experience tracks', 'A ServiceNow Developer with 4+ years experience in the field of ITSM, specifically Catalog and Workflows. Coming in with a combination of education and technical experience that allows you to lead a small team in a ServiceNow ITSM implementation.', 'Specific experience in various IT Services of ServiceNow tool like Service Catalog, Requests, Incident and Knowledge Management, Service Portal, Reporting, Integration with Web Services.', 'Experience in developing and maintaining Service Catalog Items and complex Workflows.', 'Experience with Scripting of Business rules (Server Side code) and modifying OOB rules.']",https://uk.indeed.com/viewjob?jk=b594f808b452db2f
26,Software Development Graduate Scheme,Transport for London,Hybrid remote in London,"£27,000 a year",4 days ago,C React Azure,"Software Development Graduate Scheme 038574
Organisation - HR Director
Job - Software Development
Position Type - Full Time
Thank you for your interest in applying for this TfL Graduate Scheme.

We’d like to remind you that you must ensure you are eligible for this scheme before applying. Please read through the eligibility criteria below carefully and ensure that you are eligible before applying.

This application will also contain a series of questions to establish whether or not you are eligi...","['Everything we do as an organisation ensures that our evolving city remains futureproof for millions of Londoners. Our talented graduates form a vital part of that vision, so it’s important that we find the best people to help us do this. We’re looking for people who;']","['Our Tech & Data teams focus on what’s behind the millions of daily transactions on London’s transport network. Every Journey Matters and every line (of code) matters. Our accelerated software development scheme enables you to become a full-stack developer, gaining experience on London’s most familiar and innovative systems. You’ll be joining one of the city’s largest Agile technology departments, with a reputation for delivering high quality software using the latest platforms and tools.\n', 'As a graduate, this one-year development programme will consist of initial training followed by two placement rotations. Our aim is to equip you with the range of skills and experience you need for your successful career. We also understand that everyone’s career is different, so every graduate’s journey is unique. Here’s an idea of what yours could look like;', '\nWorking in a team, under the guidance of an experienced developer, you create a responsive React web application, which allows London Underground staff to view train timetable information relevant to their station. You speak to the end users to understand their requirements and demonstrate the product, as it evolves, to get their feedback. Your team also creates a C# API, running in Microsoft Azure, which feeds the timetable data to the web application. Using pair programming, within a Scrum team, you’ll learn how to deliver high quality, clean code with extensive automated tests.', 'Your first placement will be fixed and your following placements will be mutually agreed to ensure you gain experience with the widest possible range of technologies, tools and teams.', 'Whilst on the scheme, we’ll support your technical development through a wide range of on-the-job practical experiences and placements. We’ll also support your professional development through a combination of training courses, mentoring opportunities and structured networking opportunities with scheme alumni. You will receive one-to-one support throughout the programme from your scheme sponsor and your Line Manager. You’ll also be connected to a ‘buddy’ who will be an alumnus from the scheme.']",https://uk.indeed.com/viewjob?jk=5aef30109ff3a2f4
27,Software Engineer,MI5,North London+1 location,"£50,500 - £59,388 a year",15 days ago,Python Java C AWS React Azure,"Details
Reference number
195507
Salary
£50,500 - £59,388
Grade
Higher Executive Officer
ST4
Contract type
Permanent
Type of role
Information Technology
Working pattern
Flexible working, Full-time, Part-time
Number of posts
9

Location
London (region), North West (region)
About the job
Summary
We are MI5. We gather intelligence from within the UK. We help to protect the UK along with West from a range of serious threats – everything from terrorism to organised crime, to cyber-crime and espionage....","[""\nTechnology sits at the heart of everything we do at MI5, enabling us to disrupt serious threats to UK national security. We're currently looking for experienced Software Engineers who are prepared to take more of a senior role within multi-disciplinary product teams, who will provide the technical direction and mentoring for less experienced colleagues while working alongside product owners, business analysts and agile delivery colleagues to build and run secure applications and products. You will play a vital role in a team that ensures MI5 can stay ahead in an evolving digital world."", '\nWe are looking for experienced Software Engineers who are prepared to take more of a senior role in their team, providing technical direction and mentoring for less experienced colleagues. We’re interested in people who:\n']","[""\nTechnology sits at the heart of everything we do at MI5, enabling us to disrupt serious threats to UK national security. We're currently looking for experienced Software Engineers who are prepared to take more of a senior role within multi-disciplinary product teams, who will provide the technical direction and mentoring for less experienced colleagues while working alongside product owners, business analysts and agile delivery colleagues to build and run secure applications and products. You will play a vital role in a team that ensures MI5 can stay ahead in an evolving digital world."", '\nYou will share our collective responsibility to keep the country safe and be keen to constantly improve yourself and your team. We actively encourage engineers to learn about our mission and build relationships with people working in those teams. There are lots of opportunities to help you understand how MI5 really works so we build better products.? You will be expected to take ownership of large problems, break them down and work with the team to deliver new features through the whole engineering lifecycle. Along with supporting products owned by the team, providing on-call if necessary, working with users to identify and fix defects and automating tests to maintain the assurance of our continuous integration pipelines. You will also support and mentor less experienced colleagues, helping them to understand what great software engineering looks like and participate in agile ceremonies per the team’s ways of working, guilds and cross-organisation initiatives to build our community of engineers.', ""\nWe use agile methodologies to deliver products that are core to MI5's operation, working to the full spectrum of investigative, analytical and corporate areas of the organisation. We make use of modern approaches and cloud technologies such as AWS and Azure. Our tech stacks vary between products (such as Java, C#, React.js, Oracle, Mongo, Elastic Search and Hadoop to name a few), giving engineers access to a career where they can move between teams to build experience in a wide number of technologies or develop a deep specialism in their preferred area. We embrace a DevSecOps mindset, our teams automate, run and support what we build. Whether it’s building a platform to enable the analysis of data, systems to track the progress of our investigations, compliance services to ensure we are operating legally or tooling to improve our developer experience, the nature of our work presents unique and fascinating engineering challenges, the likes of which you will never have seen before."", '\nWe are looking for experienced Software Engineers who are prepared to take more of a senior role in their team, providing technical direction and mentoring for less experienced colleagues. We’re interested in people who:\n', 'Have experience of developing software in at least one common language. For example, Java, C#, Python, GoLang or JavaScript\n']",https://uk.indeed.com/viewjob?jk=500de1b88d96157a
28,C# DEVELOPER,Talan,London,Not Provided,8 days ago,C SQL,"A propos de Talan
Back end C#, SQL server
Financial sector
Risk
XVA platform
Project:
Platform reliability
Technical Project
Project Business
Scope extension (rate and FX)
Work on product: Equity et Commo
Asset Class Credit and Repo
Pricing - onboarding through sales platform on FX and work on rates in Q1C#SQL...",[],[],https://uk.indeed.com/viewjob?jk=ffc37b760a3e2cd5
29,Intern - Software Developer,Pearson,London,Not Provided,21 days ago,Python C AWS Azure,"PEARSON DIGITAL & TECHNOLOGY INTERNSHIP PROGRAM
Software Development Intern
Why join Pearson’s intern program?
Pearson is the world’s learning company. We help people of all ages acquire the knowledge and skills they need to be successful in their work and careers. We believe that everyone should be able to keep learning, every day and in every way, throughout their lives. Bringing together everything we know about the science of learning and the latest technology; we’re shaping the future of te...","['We’re looking for the next generation of talented undergraduates to join our team for an unforgettable 12-week internship. An internship at Pearson is an opportunity to bring your own unique perspective as a learner, together with your academic knowledge, technical skills, and enthusiasm, to help create products used by students like you.']","['We look for Students pursuing a STEM degree (Science, Technology, Engineering, Mathematics) with software development or relevant work experience. We also look for Students pursuing a degree in computer science, cyber security, software engineering, information security, engineering, or technology.', 'Students should also have a basic understanding of Cloud platforms, in particular AWS, Azure and/or Google. Experience in coding with Python or similar would be useful.', 'Learning is the most powerful force for change in the world. More than 20,000 Pearson employees deliver our products and services in nearly 200 countries, all working towards a common purpose – to help everyone achieve their potential through learning. We do that by providing high quality, digital content and learning experiences, as well as assessments and qualifications that help people build their skills and grow with the world around them. We are the world’s leading learning company. Learn more at pearsonplc.com. Pearson believes that wherever learning flourishes, so do people. We are committed to being an anti-racist company in everything we do. We value the power of an inclusive culture and a strong sense of belonging. We promote a culture where differences are embraced, opportunities are accessible, consideration and respect are the norm, and all individuals are supported in reaching their full potential. Through our talent, we believe that diversity, equity, and inclusion make us a more innovative and vibrant place to work. People are at the center, and we are committed to a sustainable environment and workplace where talent can learn, grow, and thrive.', 'Pearson is an equal opportunities employer. We do not discriminate against employees or job applicants and select the best person for each job based on relevant skills and experience.']",https://uk.indeed.com/viewjob?jk=be4c1bee974473ac
30,C# ASP.NET MVC Developer,Smartedge Solutions,Remote in West London,Not Provided,30+ days ago,Java C HTML .NET Azure CSS,"Location: West London or Remote
Job Description: C# ASP.NET MVC Developer (Azure Cloud Services) Job description: Mid-Level ASP.NET Software Developer Mid-level / Senior ASP.NET application developer needed on permanent role, to work on an e-Learning education project. Your role will involve working on a technical development and ongoing development and maintenance of a major system. The role is suited to a developer who is exceptionally proficient in C#, ASP.NET and related technologies, such a...",[],"['C# ASP.NET MVC Developer (Azure Cloud Services) Job description: Mid-Level ASP.NET Software Developer Mid-level / Senior ASP.NET application developer needed on permanent role, to work on an e-Learning education project. Your role will involve working on a technical development and ongoing development and maintenance of a major system. The role is suited to a developer who is exceptionally proficient in C#, ASP.NET and related technologies, such as MVC and Web Forms. The ideal person should be adept at all areas within the SDLC and able to demonstrate their technical abilities at interview prior experience with MS Azure automation. Key skills and experience include: · Great communication both written and verbal English ·ASP.Net MVC ·C# Azure Cloud Services ·Object Orientated development experience ·JavaScript, Jquery, CSS, HTML · Entity Framework · TDD Experience · Experience of working in an Agile team · Scrum application development and experience Advantageous attributes: Previous experience with the Education sector or on eLearning applications Mobile development cross platform experience Software techy someone who likes keeping up-to-date with changing technology and its implementation Understanding of documentation approaches and work tracking skills A Computer Science related degree Salary: £ 43,000 per Annum Location: West London (Remote)']",https://uk.indeed.com/viewjob?jk=154cd6f57c033eac
